Pharmacie,Adresse_Complete,Telephone,Deja_Contacte,RDV,Action,Distance_Cite_Universitaire_km,Coordonnees,VUE
Pharmacie de la Tour Eiffel,"Rue de Monttessuy, 75007 Paris, France",Non renseigné,non,,,5.268782832970036,"48.8593893, 2.2980526",non
Pharmacie de la Nation,"Place de la Nation, 75011 Paris, France",Non renseigné,non,,,5.289900875356596,"48.8489464, 2.3974432",non
Pharmacie des simples,"Rue de la Folie-Méricourt, 75011 Paris, France",Non renseigné,non,,,5.300438608376897,"48.8626208, 2.3735952",non
Pharmacie du Bataclan,"Boulevard Voltaire, 75011 Paris, France",Non renseigné,non,,,5.302817201424837,"48.8640464, 2.369279",non
Pharmacie Lyva,"Rue du Sahel, 75012 Paris, France",Non renseigné,non,,,5.304655018301109,"48.8410178, 2.4048971",non
Pharmacie Rive Gauche,"Avenue Émile Zola, 75015 Paris, France",Non renseigné,non,,,5.307983653347405,"48.846049, 2.278046",non
Pharmacie Carême,"100 Boulevard de Sébastopol, 75003 Paris, France",+33 1 42 72 12 16,non,,,5.333423037791463,"48.8676501, 2.3535643",non
Pharmacie Mirabeau,"Rond-Point du Pont Mirabeau, 75015 Paris, France",Non renseigné,non,,,5.336726624018215,"48.845643, 2.2772011",non
Pharmacie Gardette,"Rue du Général Renault, 75011 Paris, France",+33147004679,non,,,5.338456275972167,"48.8613804, 2.3778956",non
Pharmacie du Sentier,"247 Rue Saint-Denis, 75002 Paris, France",Non renseigné,non,,,5.341316469119174,"48.8679582, 2.3516149",non
Pharmacie St. Maur - Desmoulins,"Rue Camille Desmoulins, 75011 Paris, France",+33143484303,non,,,5.343639498438903,"48.8593197, 2.3826479",non
Pharmacie Métro Temple,"172 Rue du Temple, 75003 Paris, France",+33 1 42 72 12 39,non,,,5.36390541871716,"48.8665115, 2.3618921",non
Pharmacie Voltaire,"Boulevard Voltaire, 75011 Paris, France",Non renseigné,non,,,5.367899663311357,"48.8648604, 2.3686851",non
Boticinal - Grande Pharmacie de la Bourse,"1 Rue du Quatre Septembre, 75002 Paris, France",+33 1 42 36 16 67,non,,,5.377104820569601,"48.8689573, 2.3392078",non
Pharmacie Picpus,"Rue Marsoulan, 75012 Paris, France",Non renseigné,non,,,5.378649744172064,"48.8451294, 2.4027346",non
Pharmacie des Capucines,"8 Rue des Capucines, 75002 Paris, France",Non renseigné,non,,,5.401183611844926,"48.8687585, 2.3297665",non
Pharmacie des Deux Colonnes,"Cours de Vincennes, 75020 Paris, France",+33 1 43 73 08 10,non,,,5.402972181612905,"48.8484535, 2.3998864",non
Oberkampf - Méricourt,"Rue de la Folie-Méricourt, 75011 Paris, France",Non renseigné,non,,,5.403116927723126,"48.8644061, 2.3713501",non
Pharmacie de la place de la République,"5 Place de la République, 75003 Paris, France",+33 1 47 00 18 08,non,,,5.414251129265077,"48.866451, 2.3643006",non
Gaidoz Sylvie,"Rue du Chevalier de Saint-George, 75001 Paris, France",Non renseigné,non,,,5.438998002248798,"48.8686079, 2.3251595",non
La Croix de Malte,"53 Boulevard Saint-Martin, 75003 Paris, France",Non renseigné,non,,,5.490032011028757,"48.8687618, 2.3559159",non
Pharmacie du marché Popincourt,"Rue Jean-Pierre Timbaud, 75011 Paris, France",+33147001876,non,,,5.500135011796675,"48.8657189, 2.3702031",non
Pharmacie du Rendez-vous,"Rue du Rendez-Vous, 75012 Paris, France",Non renseigné,non,,,5.501641636199237,"48.8453589, 2.4044766",non
Pharmacie Dufour,"Rue Marsoulan, 75012 Paris, France",Non renseigné,non,,,5.504691448963096,"48.8468431, 2.4031703",non
Grande Pharmacie du XXe,"Rue Auger, 75020 Paris, France",Non renseigné,non,,,5.508857910188696,"48.850918, 2.3989279",non
Phamarcie du 58,"Rue Oberkampf, 75011 Paris, France",+33 1 47 00 65 02,non,,,5.515410375570251,"48.8647779, 2.3736671",non
Pharmacie Netter,"Avenue du Docteur Arnold Netter, 75012 Paris, France",Non renseigné,non,,,5.51680235133648,"48.844461, 2.4054819",non
Grande Pharmacie Saint-Maur,"Rue Saint-Maur, 75011 Paris, France",++33147003077,non,,,5.53159813781654,"48.8628288, 2.3793549",non
Pharmacie du Globe,"19 Boulevard de Bonne Nouvelle, 75002 Paris, France",Non renseigné,non,,,5.553503267222398,"48.8700432, 2.3501188",non
Pharmacie Mont-Louis,"Rue de Mont-Louis, 75011 Paris, France",Non renseigné,non,,,5.555644684580504,"48.8582932, 2.389228",non
Pharmacie des Panoramas,"Galerie Montmartre, 75002 Paris, France",Non renseigné,non,,,5.556564755144782,"48.8705289, 2.3425306",non
Pharmacie Choiseul,"Rue de Choiseul, 75002 Paris, France",Non renseigné,non,,,5.558784208536079,"48.8705363, 2.3358361",non
Pharmacie de la Folie-Regnault,"52 Rue de la Folie Regnault, 75011 Paris, France",+33 1 43 79 05 29,non,,,5.558969371228039,"48.8596615, 2.3868062",non
Pharmacie Bonne Nouvelle,"12 Boulevard de Bonne Nouvelle, 75010 Paris, France",Non renseigné,non,,,5.575353647093986,"48.8701054, 2.3514869",non
Pharmacie Porte Saint-Denis,"2 Rue du Faubourg Saint-Denis, 75010 Paris, France",+33 1 47 70 06 70,non,,,5.579206944262581,"48.8699759, 2.3529531",non
Pharmacie Labi,"Rue du Chemin Vert, 75011 Paris, France",Non renseigné,non,,,5.588827850685772,"48.8618383, 2.3830584",non
Pharmacie Choumin,"Rue des Trois Bornes, 75011 Paris, France",Non renseigné,non,,,5.592974490562299,"48.8663019, 2.3713203",non
Pharmacie du Boulevard de Charonne,"Rue Alexandre Dumas, 75020 Paris, France",Non renseigné,non,,,5.620886426419566,"48.8545573, 2.3962916",non
Pharmacie de la Scala,"11 Boulevard de Strasbourg, 75010 Paris, France",Non renseigné,non,,,5.625244280416638,"48.8702017, 2.3545133",non
Pharmacie des Grands Boulevards,"Rue Montmartre, 75002 Paris, France",Non renseigné,non,,,5.6341789083029,"48.8712109, 2.3430984",non
Pharmacie LeClerc,"Rue Godot-de-Mauroy, 75009 Paris, France",Non renseigné,non,,,5.643151303615119,"48.8706039, 2.3262245",non
Pharmacie de l'Opéra,"Rue Auber, 75009 Paris, France",Non renseigné,non,,,5.649835096523065,"48.8711342, 2.3313636",non
Pharmacie Assoun,"Avenue de la République, 75011 Paris, France",+33143573456,non,,,5.65865568794517,"48.8648624, 2.3775558",non
Pharmacie de Strasbourg,"12 Boulevard de Strasbourg, 75010 Paris, France",Non renseigné,non,,,5.659844306619725,"48.8704289, 2.3551851",non
Pharmacie Beaurepaire,"4 Rue Beaurepaire, 75010 Paris, France",+33 1 40 40 00 35,non,,,5.664643453883216,"48.8690317, 2.3634064",non
Pharmacie des cliniques,"Avenue Parmentier, 75011 Paris, France",Non renseigné,non,,,5.668339308891233,"48.8663678, 2.3735097",non
Pharmacie Versailles-Mirabeau,"Villa des Glizières, 75016 Paris, France",Non renseigné,non,,,5.673579122120082,"48.8493912, 2.2754031",non
Pharmacie Berthelot Fourreau,"Rue du Faubourg du Temple, 75011 Paris, France",Non renseigné,non,,,5.693649249570938,"48.8685216, 2.36681",non
Pharmacie Alexandre Dumas,"Rue de Bagnolet, 75020 Paris, France",Non renseigné,non,,,5.716773141623826,"48.856592, 2.3951782",non
Pharmacie du Quartier Saint-Martin,"Rue Taylor, 75010 Paris, France",+33 1 42 08 22 72,non,,,5.733952868065722,"48.8704534, 2.3594304",non
Pharmacie Pyrénées-Vincennes,"Rue des Pyrénées, 75020 Paris, France",Non renseigné,non,,,5.741276160386634,"48.8479906, 2.4058932",non
Grande Pharmacie d'Avron,"Rue d'Avron, 75020 Paris, France",Non renseigné,non,,,5.741428399296789,"48.8519996, 2.4016737",non
Pharmacie de la Madeleine,"Rue Chauveau-Lagarde, 75008 Paris, France",Non renseigné,non,,,5.750464119609464,"48.8712562, 2.3235785",non
Pharmacie Saint-Maur Oberkampf,"102 Rue Saint-Maur, 75011 Paris, France",+33149238825,non,,,5.753634555212319,"48.8658968, 2.3774054",non
Pharmavance,"45 Rue du Faubourg Saint-Denis, 75010 Paris, France",+33 1 47 70 34 87,non,,,5.7540695560331265,"48.8715188, 2.353417",non
Pharmacie Caumartin,"Rue de Caumartin, 75009 Paris, France",Non renseigné,non,,,5.756593413976045,"48.8718551, 2.3283293",non
Pharmacie Goldfarb Gérard,"19 Boulevard de Magenta, 75010 Paris, France",+33 9 50 73 17 04,non,,,5.7717475469187685,"48.8705337, 2.3609389",non
Pharmacie Fougère,"Rue du Faubourg Poissonnière, 75010 Paris, France",Non renseigné,non,,,5.778632366873314,"48.8722582, 2.3480167",non
Pharmacie Actuelle,"17 Rue du Faubourg Montmartre, 75009 Paris, France",Non renseigné,non,,,5.788276514414746,"48.8726012, 2.3430028",non
Pharmacie Haussmann-Opéra,"Boulevard Haussmann, 75009 Paris, France",Non renseigné,non,,,5.7944726762473975,"48.8726025, 2.334294",non
Pharmacie Conseil Passy,"Place du Costa Rica, 75016 Paris, France",+33142882034,non,,,5.798421590511953,"48.8583425, 2.2847292",non
Pharmacie Magenta,"2 Place Jacques Bonsergent, 75010 Paris, France",+33 1 42 08 17 80,non,,,5.800534245564391,"48.8707066, 2.3614499",non
Pharmacie du Cours de Vincennes,"Cours de Vincennes, 75012 Paris, France",Non renseigné,non,,,5.8159592646657545,"48.8469268, 2.4080604",non
Pharmacie Deves,"Avenue Théophile Gautier, 75016 Paris, France",Non renseigné,non,,,5.816993726482659,"48.8511376, 2.2748692",non
Pharmacie Marceau,"Rue Léonce Reynaud, 75116 Paris, France",Non renseigné,non,,,5.82078148926407,"48.8658462, 2.2993986",non
Pharmacie Centrale d'Avron,"Rue d'Avron, 75020 Paris, France",Non renseigné,non,,,5.831187405595597,"48.8520476, 2.4031571",non
Ma Pharmacie République,"Rue du Faubourg du Temple, 75011 Paris, France",Non renseigné,non,,,5.833403347522352,"48.8692817, 2.3691088",non
Pharmacie Européenne,"Rue de la Trémoille, 75008 Paris, France",Non renseigné,non,,,5.834507970717484,"48.8674157, 2.3033941",non
Pharm O’naturel,"29 Boulevard de Magenta, 75010 Paris, France",+33 1 42 08 20 30,non,,,5.837059095768467,"48.8712633, 2.3602818",non
Pharmacie Monte-Cristo,"30 Rue de Bagnolet, 75020 Paris, France",+33143703224,non,,,5.842035450342936,"48.8567724, 2.397292",non
Matignon,"Avenue Matignon, 75008 Paris, France",Non renseigné,non,,,5.842175471922602,"48.8696999, 2.3109865",non
Pharmacie Rémusat,"Rue de Rémusat, 75016 Paris, France",Non renseigné,non,,,5.84222021623624,"48.8481157, 2.2714017",non
Pharmacie du Garigliano,"Avenue de Versailles, 75016 Paris, France",Non renseigné,non,,,5.8430046620130565,"48.8409688, 2.2658163",non
Pharmacie Dahan,"Rue Deguerry, 75011 Paris, France",+33 1 43 57 32 61,non,,,5.843969721906912,"48.8684612, 2.372393",non
Pharmacie de la porte de Saint-Mandé,"Avenue Courteline, 75012 Paris, France",Non renseigné,non,,,5.859740921113498,"48.8444532, 2.4107855",non
Pharmacie Franklin,"Rue de Passy, 75016 Paris, France",+33 1 42 88 22 32,non,,,5.861251955497037,"48.8584677, 2.283688",non
Pharmacie Harrane,"Rue La Fayette, 75009 Paris, France",Non renseigné,non,,,5.8651734529139725,"48.8732432, 2.3343795",non
Pharmacie La Fontaine,"Rue Jean de La Fontaine, 75016 Paris, France",Non renseigné,non,,,5.893418877345852,"48.8528327, 2.2754794",non
Pharmacie Cœur de Paris,"Rue des Mathurins, 75009 Paris, France",Non renseigné,non,,,5.9032908957206525,"48.8731446, 2.3278704",non
Pharmacie de Chaillot,"Rue Scheffer, 75116 Paris, France",+33 1 45 24 01 40,non,,,5.903551930516921,"48.8600965, 2.2854932",non
Pharmacie Compain,"Rue du Château d'Eau, 75010 Paris, France",Non renseigné,non,,,5.90551897983106,"48.8727042, 2.355029",non
Pharmacie Ménimontant,"Boulevard de Ménilmontant, 75020 Paris, France",Non renseigné,non,,,5.908147624432954,"48.8632712, 2.3875043",non
Pharmacie Postic Lagrandeur,"Rue d'Aix, 75010 Paris, France",Non renseigné,non,,,5.914872542128428,"48.8698134, 2.3700786",non
Lafayette,"Rue La Fayette, 75009 Paris, France",Non renseigné,non,,,5.918464296853635,"48.873761, 2.3354031",non
Pharmacie Haggiac,"Rue La Fayette, 75009 Paris, France",Non renseigné,non,,,5.925631504780693,"48.8738329, 2.3356364",non
Pharmacie Internationale,"Rue du Faubourg Saint-Honoré, 75008 Paris, France",Non renseigné,non,,,5.926140042764654,"48.8714188, 2.3150011",non
Pharmacie Galliera,"Rue Maria Brignole, 75116 Paris, France",Non renseigné,non,,,5.927289118668075,"48.8654723, 2.2956788",non
Pharmacie du Rond-Point des Champs-Élysées,"Avenue Franklin Delano Roosevelt, 75008 Paris, France",Non renseigné,non,,,5.929666814782266,"48.8702549, 2.3098514",non
Pharmacie Passy Chernoviz,"Rue Chernoviz, 75016 Paris, France",Non renseigné,non,,,5.932967488610281,"48.8577255, 2.2811747",non
Pharmacie des Folies Bergère,"Rue de la Boule Rouge, 75009 Paris, France",Non renseigné,non,,,5.937724137784637,"48.873873, 2.3449763",non
Pharmacie du Fbg Montmartre,"Rue Richer, 75009 Paris, France",Non renseigné,non,,,5.93903411835358,"48.8739699, 2.3425841",non
Pharmacie Goncourt,"Avenue Parmentier, 75011 Paris, France",Non renseigné,non,,,5.943195688202383,"48.8697016, 2.3714823",non
Pharmacie de la Place Métivier,"Rue Houdart, 75020 Paris, France",Non renseigné,non,,,5.947680340673203,"48.8633561, 2.3882344",non
Pharmacie Principale,"Cité Saint-Martin, 75010 Paris, France",Non renseigné,non,,,5.9607874117481305,"48.8727993, 2.357943",non
Pharmacie Tomasini Cohen,"Avenue Parmentier, 75010 Paris, France",Non renseigné,non,,,5.967976117238723,"48.8701624, 2.3706958",non
Pharmacie Carré Opéra,"Rue de Mogador, 75009 Paris, France",Non renseigné,non,,,5.97012774541926,"48.8740176, 2.3311821",non
Pharmacie du conservatoire,"Rue Richer, 75009 Paris, France",+33147705843,non,,,5.97602664022067,"48.8741001, 2.347167",non
Pharmacie Carré Opéra,"Rue de la Chaussée d'Antin, 75009 Paris, France",Non renseigné,non,,,5.97665805306929,"48.8741803, 2.3329266",non
Pharmacie Rossi,"Rue Oberkampf, 75011 Paris, France",Non renseigné,non,,,5.977566916488429,"48.8666008, 2.381668",non
Pharmacie de l'Arcade,"Rue des Mathurins, 75008 Paris, France",Non renseigné,non,,,5.977758155958868,"48.8734209, 2.3242032",non
Pharmacie Centrale de Passy,"Rue Nicolo, 75016 Paris, France",Non renseigné,non,,,5.979528301378487,"48.8579821, 2.2806665",non
Fontaine Pharma,"Rue Jean de La Fontaine, 75016 Paris, France",+33 1 45 27 01 62,non,,,5.981901896762232,"48.8506879, 2.271648",non
Pharmacie Le Mestre,"Rue du Faubourg Saint-Denis, 75010 Paris, France",Non renseigné,non,,,5.983207033234113,"48.8734261, 2.3549514",non
Grande Pharmacie Jouvenet,"Rue Jouvenet, 75016 Paris, France",Non renseigné,non,,,5.990160719342882,"48.8430519, 2.2650095",non
Pharmacie Centrale de Charonne,"Rue des Orteaux, 75020 Paris, France",Non renseigné,non,,,5.99744411958739,"48.8567743, 2.4001839",non
Pharmacie Evans,"Rue Pierre-Charron, 75008 Paris, France",Non renseigné,non,,,6.005964293290637,"48.8685798, 2.3017069",non
Pharmacie Porte de Vincennes,"Boulevard Soult, 75012 Paris, France",Non renseigné,non,,,6.006271173156958,"48.8465849, 2.4113407",non
Pharmacie de la Place Chopin,"Rue Singer, 75016 Paris, France",Non renseigné,non,,,6.013187189710697,"48.8563119, 2.2777017",non
Pharmacie Des Antiquaires,"27 Rue Drouot, 75009 Paris, France",Non renseigné,non,,,6.025439652182308,"48.8747809, 2.3407405",non
Pharmacie Cornillon,"Rue de Longchamp, 75116 Paris, France",Non renseigné,non,,,6.029967411934853,"48.8648186, 2.2917006",non
Pharmacie du Faubourg Saint-Honoré,"Rue du Faubourg Saint-Honoré, 75008 Paris, France",Non renseigné,non,,,6.030876362260553,"48.8720895, 2.3135012",non
Pharmacie Saint-Côme,"Avenue de Versailles, 75016 Paris, France",+33 1 42 88 48 18,non,,,6.033238856634521,"48.8396253, 2.2622106",non
Pharmacie Saint-Pierre,"Rue Georges Bizet, 75116 Paris, France",Non renseigné,non,,,6.052765385825219,"48.8675617, 2.2975753",non
Pharmacie du 20ème,"Boulevard de Ménilmontant, 75020 Paris, France",Non renseigné,non,,,6.0658407484863055,"48.8666671, 2.3837961",non
Pharmacie Mimouni,"Rue du Faubourg du Temple, 75010 Paris, France",Non renseigné,non,,,6.070754296126998,"48.8706026, 2.3727062",non
Pharmacie des Arts Élysées,"27 Rue de Miromesnil, 75008 Paris, France",+33 1 42 65 27 49,non,,,6.071044230624388,"48.8729521, 2.3158478",non
Pharmacie Ostrom,"Boulevard de Magenta, 75010 Paris, France",Non renseigné,non,,,6.072659457051753,"48.8737268, 2.3586272",non
Pharmacie Anglo-Américaine,"Rue de Chaillot, 75116 Paris, France",Non renseigné,non,,,6.073062384082582,"48.8681915, 2.298684",non
Pharmacie du Canal St-Martin,"Rue des Vinaigriers, 75010 Paris, France",Non renseigné,non,,,6.077076857033895,"48.8732431, 2.3617124",non
PharmAvance,"Place Paul-Reynaud, 75016 Paris, France",+33 1 46 51 64 08,non,,,6.0842355238899035,"48.8387308, 2.2609773",non
Pharmacie générale Belleville-Ménilmontant,"9 Boulevard de Belleville, 75011 Paris, France",Non renseigné,non,,,6.092434539149633,"48.8677009, 2.3819329",non
Pharmacie Maraichers,"Rue des Pyrénées, 75020 Paris, France",Non renseigné,non,,,6.092484518925603,"48.8533987, 2.406081",non
Pharmacie Kléber,"Avenue Kléber, 75116 Paris, France",+33147279509,non,,,6.1005514192485455,"48.8639118, 2.2882305",non
Pharmacie Anglaise des Champs-Élysées,"Rue La Boétie, 75008 Paris, France",+33 1 43 59 22 52,non,,,6.104902070688234,"48.8708475, 2.3057806",non
Pharmacie Fitoussi,"Boulevard Davout, 75020 Paris, France",Non renseigné,non,,,6.1089394593534845,"48.8481243, 2.4116336",non
Nom inconnu,"97 Rue Jean-Pierre Timbaud, 75011 Paris, France",+33 43 57 15 34,non,,,6.114607345650401,"48.8687118, 2.3798647",non
Pharmacie Hauteville,"66 Rue d'Hauteville, 75010 Paris, France",+33 1 47 70 21 40,non,,,6.119935452431278,"48.8751088, 2.3509692",non
Pharmacie du Soleil,"Rue de la Fidélité, 75010 Paris, France",Non renseigné,non,,,6.127605838619151,"48.8744996, 2.3568326",non
Pharmacie La Boétie Champs-Élysées,"Rue La Boétie, 75008 Paris, France",Non renseigné,non,,,6.12778091633981,"48.8715067, 2.3073286",non
Pharmacie du Marché de Passy,"Rue Bois-le-Vent, 75016 Paris, France",+33 1 42 88 01 76,non,,,6.133650741179885,"48.8577204, 2.2774067",non
Pharmacie Cadet - Lafayette,"Rue Cadet, 75009 Paris, France",Non renseigné,non,,,6.13531526520015,"48.875702, 2.3437474",non
Pharmacie L'Huillier,"Rue de Boulainvilliers, 75016 Paris, France",Non renseigné,non,,,6.136844671897206,"48.8559782, 2.2750423",non
Pharmacie Couronnes,"Boulevard de Belleville, 75011 Paris, France",Non renseigné,non,,,6.1636567177776955,"48.8691626, 2.3800109",non
Pharmacie Centrale Belleville,"Rue de l'Orillon, 75011 Paris, France",Non renseigné,non,,,6.16986287306437,"48.870284, 2.3769391",non
Pharmacie Benmoha Pariente,"Rue Cadet, 75009 Paris, France",Non renseigné,non,,,6.174397628646552,"48.876056, 2.3436865",non
Pharmacie de l'Hôpital Saint-Louis,"7 Rue de la Grange aux Belles, 75010 Paris, France",01 42 08 57 22,non,,,6.18364557741684,"48.8736618, 2.3646917",non
Pharmacie Saint Maur Saint-Louis,"196 Rue Saint-Maur, 75010 Paris, France",+33 1 42 39 31 00,non,,,6.183709382087525,"48.8718988, 2.3720288",non
Pharmacie du Village d'Auteuil,"Rue d'Auteuil, 75016 Paris, France",Non renseigné,non,,,6.18471258059269,"48.8478181, 2.2657099",non
Pharmacie Saint-Lazare,"Rue Saint-Lazare, 75009 Paris, France",+33148741111,non,,,6.184840406388506,"48.8758681, 2.3298856",non
Pharmacie du Roule,"Rue du Commandant Rivière, 75008 Paris, France",Non renseigné,non,,,6.185751761687092,"48.872721, 2.309853",non
Pharmacie Mignon,"Rue de Trévise, 75009 Paris, France",Non renseigné,non,,,6.193700686135045,"48.8761473, 2.3456897",non
Grande Pharmacie Bailly,"108 Rue Saint-Lazare, 75008 Paris, France",+33 1 53 42 10 10,non,,,6.198079361132755,"48.8755539, 2.3252185",non
Pharmacie du Trocadéro,"Rue de Longchamp, 75116 Paris, France",Non renseigné,non,,,6.198730462830383,"48.8651067, 2.2883942",non
Pharmacie de la Trinité,"Rue de Châteaudun, 75009 Paris, France",Non renseigné,non,,,6.202167055057842,"48.8762097, 2.3328316",non
Pharmacie Goldfarb,"Rue de Maubeuge, 75009 Paris, France",Non renseigné,non,,,6.204693822871877,"48.8763878, 2.3411841",non
Pharmacie de la Croix Bleue,"Rue d'Auteuil, 75016 Paris, France",+33 1 42 88 07 96,non,,,6.205160885940697,"48.847685, 2.2652772",non
Pharmacie de la Tour,"Rue de la Tour, 75116 Paris, France",Non renseigné,non,,,6.21723773422947,"48.8607344, 2.2802509",non
Pharmacie du Faubourg du Temple,"Rue du Faubourg du Temple, 75010 Paris, France",Non renseigné,non,,,6.22908766640678,"48.8714691, 2.3750538",non
Pharmacie Rogé-Cavailles,"Boulevard Haussmann, 75008 Paris, France",Non renseigné,non,,,6.23104032335664,"48.8750147, 2.3190578",non
Pharmacie Goldfarb,"Rue Lamartine, 75009 Paris, France",Non renseigné,non,,,6.236619361359151,"48.8766739, 2.3412606",non
Pharmacie Djololian,"Rue de Bassano, 75116 Paris, France",Non renseigné,non,,,6.238743376403229,"48.8696182, 2.2979209",non
Pharmacie Centrale des Pyrénées,"Rue des Pyrénées, 75020 Paris, France",Non renseigné,non,,,6.239868682440217,"48.8573349, 2.4038534",non
Pharmacie Garcia,"Rue de Bagnolet, 75020 Paris, France",Non renseigné,non,,,6.241483371255377,"48.8589893, 2.4016192",non
Pharmacie de la Croix Saint-Simon,"132 Rue d'Avron, 75020 Paris, France",Non renseigné,non,,,6.2442991136004675,"48.8530836, 2.4089949",non
Grande pharmacie de Belleville,"Rue Bisson, 75020 Paris, France",Non renseigné,non,,,6.245431866327434,"48.8701219, 2.3796681",non
La confiance,"Rue de la Présentation, 75011 Paris, France",Non renseigné,non,,,6.2479028790529965,"48.8712692, 2.3763039",non
Pharmacie Doumer-Passy,"Rue Guichard, 75116 Paris, France",Non renseigné,non,,,6.248928841627662,"48.8589355, 2.2769651",non
Grande Pharmacie d'Auteuil,"Rue Poussin, 75016 Paris, France",Non renseigné,non,,,6.250317341874546,"48.8490325, 2.2657341",non
Pharmacie Rose,"Rue Saint-Lazare, 75009 Paris, France",+33 1 48 74 13 38,non,,,6.261515583628374,"48.8768651, 2.3359395",non
Pharmacie Dambreville,"Rue Chamfort, 75016 Paris, France",+33 1 42 88 53 33,non,,,6.262085683122823,"48.8514366, 2.2678072",non
Pharmacie de la Porte de Saint-Cloud,"Boulevard Murat, 75016 Paris, France",Non renseigné,non,,,6.264148639612417,"48.8374072, 2.2577221",non
Pharmacie des Martyrs,"Rue des Martyrs, 75009 Paris, France",Non renseigné,non,,,6.264733385375185,"48.8769401, 2.3393848",non
Pharmacie Centrale d'Auteuil,"Rue Jean de La Fontaine, 75016 Paris, France",Non renseigné,non,,,6.290688662992742,"48.8483073, 2.2644663",non
Pharmacie Miromesnil,"Rue de Miromesnil, 75008 Paris, France",Non renseigné,non,,,6.297038548211002,"48.8750834, 2.3159276",non
Pharmacie Haussmann - Laborde,"Boulevard Haussmann, 75008 Paris, France",Non renseigné,non,,,6.299933156442686,"48.8752912, 2.3169194",non
Pharmacie principale,"51 Rue de Ménilmontant, 75020 Paris, France",Non renseigné,non,,,6.30832647602401,"48.8680375, 2.3866814",non
Pharmacie Spinhirny,"Villa Malakoff, 75116 Paris, France",Non renseigné,non,,,6.3123118971783505,"48.865513, 2.2866451",non
Pharmacie Lafayette du Ranelagh,"Rue du Ranelagh, 75016 Paris, France",Non renseigné,non,,,6.317757983055383,"48.8552591, 2.2709985",non
Pharmavance,"Rue Michel-Ange, 75016 Paris, France",Non renseigné,non,,,6.322203762783195,"48.843998, 2.2606789",non
Pharmacie Conseil la Fayette,"Rue La Fayette, 75010 Paris, France",Non renseigné,non,,,6.332511352099394,"48.8771691, 2.349388",non
Pharmacie Galilée,"Rue Jean Giraudoux, 75116 Paris, France",Non renseigné,non,,,6.335192005430677,"48.8699534, 2.2961465",non
Pharmacie Dubly,"Avenue Kléber, 75116 Paris, France",Non renseigné,non,,,6.342186871508939,"48.8675763, 2.2902468",non
Nom inconnu,"Rue de Miromesnil, 75008 Paris, France",Non renseigné,non,,,6.343225754084531,"48.8755033, 2.3158643",non
Pharmacie Centrale de l'Est,"Rue du 8 Mai 1945, 75010 Paris, France",Non renseigné,non,,,6.345017320472678,"48.8764872, 2.3569059",non
Pharmacie de la Muette,"Avenue Mozart, 75016 Paris, France",Non renseigné,non,,,6.346529411640211,"48.858012, 2.2739092",non
Pharmacie 43,"Rue des Maronites, 75020 Paris, France",Non renseigné,non,,,6.3480390334098935,"48.8689687, 2.3854808",non
Pharmacie Mozart,"Avenue Mozart, 75016 Paris, France",Non renseigné,non,,,6.359390830546834,"48.8572978, 2.2727541",non
Pharmacie Boissière,"Avenue Kléber, 75116 Paris, France",Non renseigné,non,,,6.3687774025562325,"48.8683863, 2.2914212",non
Pharmacie Homéopathique de Messine,"Avenue de Messine, 75008 Paris, France",Non renseigné,non,,,6.3777171933647585,"48.8755374, 2.3143555",non
Pharmacie Hibert,"Rue Washington, 75008 Paris, France",Non renseigné,non,,,6.379249686344063,"48.8724883, 2.3022117",non
Pharmacie du Septentrionet de l'Est,"Rue du Faubourg Saint-Denis, 75010 Paris, France",Non renseigné,non,,,6.37938735053022,"48.8769179, 2.3560295",non
Pharmacie Rodier,"Rue Claude-Rodier, 75009 Paris, France",Non renseigné,non,,,6.380089987210631,"48.8779431, 2.3424201",non
Pharmacie Saint-Augustin,"Boulevard Malesherbes, 75008 Paris, France",Non renseigné,non,,,6.380453422345829,"48.8761976, 2.3178307",non
Pharmacie de la Porte de Montreuil,"Boulevard Davout, 75020 Paris, France",Non renseigné,non,,,6.381392653063891,"48.8533437, 2.4110062",non
Pharmacie Exelmans,"77 Boulevard Exelmans, 75016 Paris, France",Non renseigné,non,,,6.382338016509237,"48.843338, 2.2593388",non
Gagne Petit,"Rue de Belleville, 75020 Paris, France",+33 1 46 36 67 42,non,,,6.384762940424497,"48.8721807, 2.3777353",non
Pharmacie Bailly,"Avenue Mozart, 75016 Paris, France",Non renseigné,non,,,6.390464551991929,"48.8553061, 2.269803",non
Pharmacie de la Porte d'Auteuil,"Rue d'Auteuil, 75016 Paris, France",Non renseigné,non,,,6.394326835821889,"48.8481034, 2.262677",non
Pharmacie du Rocher,"Rue de la Bienfaisance, 75008 Paris, France",+33145226861,non,,,6.3976590618031315,"48.8769049, 2.3214132",non
Pharmacie Lengronne,"Rue Lauriston, 75116 Paris, France",Non renseigné,non,,,6.406345791580364,"48.867148, 2.2878128",non
Pharmacie Coilliaux,"Place Martin Nadaud, 75020 Paris, France",+331 46 36 41 06,non,,,6.409051896211896,"48.8651519, 2.3949648",non
Pharmacie d'Amsterdam,"Impasse d'Amsterdam, 75008 Paris, France",Non renseigné,non,,,6.413697044531787,"48.8776805, 2.3267977",non
Pharmacie Lellouche,"Boulevard de la Villette, 75010 Paris, France",Non renseigné,non,,,6.417096073405179,"48.8732607, 2.3752743",non
